АЗС,Лучшая модель,MAPE
133634,RandomForest,5.865
155023,SARIMAX,5.866
1788,RandomForest,5.867
153002,SARIMAX,5.879
4224,SARIMAX,5.889
133338,HoltWinters,5.891
3144,SARIMAX,5.895
133358,SARIMAX,5.897
3159,HoltWinters,5.898
39605,HoltWinters,5.903
133798,HoltWinters,5.903
133695,RandomForest,5.904
104801,RandomForest,5.906
64203,RandomForest,5.907
155137,SARIMAX,5.907
2549,HoltWinters,5.91
133257,SARIMAX,5.911
155025,RandomForest,5.917
3808,HoltWinters,5.919
6986,RandomForest,5.935
3802,RandomForest,5.937
133564,SARIMAX,5.944
1072,HoltWinters,5.944
1078,HoltWinters,5.946
4208,RandomForest,5.957
1270,HoltWinters,5.96
90401,RandomForest,5.962
1084,HoltWinters,5.965
133472,RandomForest,5.966
5014,HoltWinters,5.967
1904,SARIMAX,5.971
136811,HoltWinters,5.974
2900,HoltWinters,5.976
136915,HoltWinters,5.979
36001,SARIMAX,5.983
133406,HoltWinters,5.986
133459,SARIMAX,5.987
39206,SARIMAX,5.988
1911,HoltWinters,5.988
3847,HoltWinters,5.994
133397,SARIMAX,5.996
5044,HoltWinters,5.997
62403,SARIMAX,6.0
7147,HoltWinters,6.002
